idx,f1_real,f2_real,f3_real,cv,feasible,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
39,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
40,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
41,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
42,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
43,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
44,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
45,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
46,6.0,456.8171516190689,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,2,7
47,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
48,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
49,6.0,460.43820671204855,1162.8058436014987,0.0,1,1,9,4,5,0,8,6,2,3,7
50,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
51,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
52,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
53,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
54,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
55,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
56,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
57,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
58,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
59,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
60,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
61,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
62,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
63,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
64,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
65,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
66,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
67,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
68,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
69,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
70,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
71,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
72,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
73,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
74,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
75,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
76,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
77,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
78,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
79,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
80,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
81,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
82,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
83,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
84,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
85,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
86,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
87,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
88,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
89,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,0,8,6,7,2
90,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
91,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
92,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
93,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
94,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
95,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
96,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
97,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
98,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
99,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
100,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
101,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
102,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
103,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
104,5.0,446.4286232709189,1168.5184923332106,0.0,1,1,9,4,5,3,6,0,8,7,2
